********************************************************************************
product = WebSphere Application Server 19.0.0.2 (wlp-1.0.25.cl190220190222-1311)
wlp.install.dir = C:/Users/LucasAlvesdaSilva/git/VinicJavaCloudant/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk-11.0.2
java.version = 11.0.2
java.runtime = Java(TM) SE Runtime Environment (11.0.2+9-LTS)
os = Windows 10 (10.0; amd64) (pt_BR)
process = 9684@LAPTOP-5SIHVQ0G
********************************************************************************
[22/03/2019 11:12:05:254 BRT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: O servidor defaultServer foi ativado.
[22/03/2019 11:12:05:333 BRT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: Este produto é licenciado para uso de desenvolvimento e de produção limitada. Os termos de licença integrais podem ser visualizados aqui: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/19.0.0.2/lafiles/pt.html
[22/03/2019 11:12:08:535 BRT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: O kernel foi iniciado após 8,346 segundos
[22/03/2019 11:12:08:721 BRT] 0000001d com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Atualização do recurso iniciada.
[22/03/2019 11:12:12:923 BRT] 00000016 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: O serviço de segurança está iniciando...
[22/03/2019 11:12:13:447 BRT] 00000018 com.ibm.ws.ssl.config.WSKeyStore                             I CWPKI0819I: O keystore padrão não foi criado porque uma senha não está configurada no elemento <keyStore id="defaultKeyStore"/> e a variável de ambiente 'keystore_password' não está configurada. 
[22/03/2019 11:12:13:504 BRT] 0000002a com.ibm.ws.security.token.ltpa.internal.LTPAKeyInfoManager   I CWWKS4103I: Criando as chaves LTPA. Isso pode levar alguns segundos.
[22/03/2019 11:12:13:511 BRT] 00000016 ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I:  O plug-in de autenticação coletivo com o nome de classe NullCollectiveAuthenticationPlugin foi ativado. 
[22/03/2019 11:12:14:066 BRT] 0000002a com.ibm.ws.security.token.ltpa.internal.LTPAKeyInfoManager   A CWWKS4104A: Chaves LTPA criadas em 0,562 segundos. Arquivo-chave LTPA: C:/Users/LucasAlvesdaSilva/git/VinicJavaCloudant/target/liberty/wlp/usr/servers/defaultServer/resources/security/ltpa.keys
[22/03/2019 11:12:14:074 BRT] 0000002a com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: A configuração de LTPA fica pronta após 0,605 segundos.
[22/03/2019 11:12:14:265 BRT] 00000016 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitorando dropins para aplicativos.
[22/03/2019 11:12:15:416 BRT] 00000020 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: O Canal TCP defaultHttpEndpoint foi iniciado e agora está atendendo solicitações no host *  (IPv6) porta 9080.
[22/03/2019 11:12:16:130 BRT] 00000016 com.ibm.ws.cache.ServerCache                                 I DYNA1001I: A instância de Cache Dinâmico do WebSphere denominada baseCache foi inicializada com êxito.
[22/03/2019 11:12:16:136 BRT] 00000016 com.ibm.ws.cache.ServerCache                                 I DYNA1071I: O provedor de cache default está sendo usado.
[22/03/2019 11:12:16:139 BRT] 00000016 com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Cache Dinâmico (cache de objeto) inicializado com êxito.
[22/03/2019 11:12:21:860 BRT] 00000024 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando o aplicativo JavaCloudantApp.
